,Female,Male,Not_Married,Married,No_Dependent,1_Dependent,2_Dependents,3+_Dependents,Graduate,Not_Graduate,Not_Self_Employed,Self_Employed,Rural,Semiurban,Urban,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,376,0,100,8,1,1
1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,306,60,81,8,1,0
2,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,139,0,26,8,1,1
3,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,90,160,73,8,1,1
4,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,381,0,94,8,1,1
5,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,353,241,169,8,1,1
6,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,65,61,48,8,1,1
7,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,146,174,111,8,0,0
8,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,269,63,120,8,1,1
9,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,470,282,186,8,1,0
10,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,171,11,28,8,1,1
11,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,84,99,62,8,1,1
12,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,150,279,140,8,1,1
13,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,24,189,67,8,1,0
14,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,7,29,1,4,1,1
15,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,337,0,78,8,1,1
16,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,218,0,53,6,1,1
17,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,208,0,34,8,0,0
18,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,331,0,86,8,1,0
19,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,91,223,68,8,1,1
20,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,423,0,57,8,0,0
21,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,380,267,182,8,1,1
22,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,91,109,69,8,0,0
23,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,190,111,65,8,0,0
24,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,237,195,104,8,1,0
25,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,450,0,136,8,1,1
26,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,116,150,75,8,1,1
27,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,285,26,63,8,1,1
28,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,9,0,5,8,1,0
29,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,240,130,73,8,1,1
30,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,279,217,141,8,1,0
31,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,166,0,32,8,1,0
32,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,317,0,59,8,1,0
33,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,207,78,67,8,1,1
34,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,469,198,183,8,1,0
35,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,59,128,100,8,1,1
36,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,21,44,53,8,0,0
37,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,228,57,97,8,1,1
38,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,279,275,130,8,1,1
39,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,239,79,63,8,1,1
40,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,221,0,36,8,1,0
41,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,17,35,12,8,1,1
42,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,71,0,33,8,1,1
43,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,261,158,87,8,1,1
44,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,318,0,49,8,1,1
45,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,195,0,43,8,1,1
46,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,361,0,9,8,1,1
47,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,374,0,97,8,1,1
48,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,95,220,73,8,0,0
49,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,268,152,97,8,1,1
50,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,31,75,53,8,1,1
51,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,154,0,73,8,1,1
